report_month,ticker,revenue_ttm_bn_vnd,net_income_ttm_bn_vnd,eps_ttm_vnd,roe_pct,gross_margin_pct,debt_to_equity,current_ratio,cash_ratio,inventory_ratio_pct,receivable_days,interest_coverage,operating_cashflow_bn_vnd,pre_sales_bn_vnd,backlog_bn_vnd,legal_issue_flag,bond_pressure_flag,project_handover_score,macro_sentiment_idx,mortgage_rate_pct,financing_access_idx,policy_support_idx
2021-01-31 0:00:00,IEY,1579.2,366.0,784,3.9,27.8,0.5,1.57,0.56,12.1,32.0,18.0,290.0,473.3,933.4,0,0,81.0,63.2,8.7,60.1,50.3
2021-02-28 0:00:00,IEY,1549.6,311.6,667,3.3,29.1,0.34,1.65,0.51,20.7,44.4,18.0,286.6,460.3,759.2,0,0,67.2,63.9,8.79,63.2,53.8
2021-03-31 0:00:00,IEY,1531.3,325.9,698,3.5,30.3,0.48,1.52,0.52,21.6,23.3,18.0,342.5,546.3,1284.6,0,0,72.1,68.5,8.85,57.0,45.0
2021-04-30 0:00:00,IEY,1492.8,298.3,639,3.2,29.9,0.44,1.73,0.53,18.8,53.9,18.0,245.8,479.6,753.5,0,0,70.9,70.5,8.89,56.4,48.3
2021-05-31 0:00:00,IEY,1490.3,294.8,631,3.1,29.4,0.38,1.78,0.68,11.8,40.3,18.0,306.4,484.8,1247.9,0,0,74.0,63.1,8.9,63.6,46.6
2021-06-30 0:00:00,IEY,1489.5,306.2,656,3.3,29.2,0.4,1.84,0.45,21.4,38.0,18.0,305.7,389.9,1134.6,0,0,76.7,62.8,8.87,63.1,59.2
2021-07-31 0:00:00,IEY,1490.0,309.7,663,3.3,28.9,0.49,1.66,0.45,19.4,24.0,18.0,224.4,448.2,1440.4,0,0,83.6,58.1,8.82,62.8,42.6
2021-08-31 0:00:00,IEY,1514.2,346.1,741,3.7,28.7,0.29,1.69,0.46,21.5,42.2,18.0,333.0,437.7,786.9,1,0,80.2,58.3,8.74,60.5,47.2
2021-09-30 0:00:00,IEY,1521.7,269.1,576,2.9,26.2,0.31,1.73,0.47,19.4,36.3,18.0,297.1,365.2,526.0,0,0,73.7,55.0,8.64,58.9,51.1
2021-10-31 0:00:00,IEY,1530.5,277.7,595,3.0,25.6,0.35,1.7,0.49,18.4,33.5,18.0,161.3,481.5,858.1,0,0,68.8,57.9,8.54,62.6,42.1
2021-11-30 0:00:00,IEY,1556.4,330.3,707,3.5,28.4,0.38,1.54,0.51,21.2,26.8,18.0,203.1,425.0,795.9,0,0,75.9,58.3,8.45,63.5,40.6
2021-12-31 0:00:00,IEY,1590.6,354.2,758,3.8,28.0,0.32,1.66,0.6,20.2,51.3,18.0,335.0,429.1,703.8,0,0,69.0,59.9,8.37,63.8,51.4
2022-01-31 0:00:00,IEY,1636.0,345.9,741,3.7,28.0,0.41,1.89,0.58,19.0,30.1,18.0,190.5,425.0,1171.5,0,0,58.2,56.0,9.39,57.2,53.3
2022-02-28 0:00:00,IEY,1603.1,357.7,766,3.8,28.9,0.36,1.64,0.43,16.9,40.5,18.0,331.7,457.9,778.4,0,0,71.0,60.8,9.33,52.8,52.1
2022-03-31 0:00:00,IEY,1579.5,307.8,659,3.3,25.2,0.35,1.67,0.53,16.4,49.3,18.0,321.7,477.9,1230.2,0,0,80.1,54.1,9.45,51.0,61.5
2022-04-30 0:00:00,IEY,1532.9,325.7,698,3.5,27.2,0.53,1.7,0.54,18.3,43.9,16.79,241.4,503.0,1010.0,0,0,78.1,52.8,9.58,54.7,49.5
2022-05-31 0:00:00,IEY,1475.0,314.3,673,3.3,27.0,0.49,1.71,0.52,15.6,44.2,18.0,253.0,430.5,1082.3,0,0,81.3,50.4,9.86,48.0,51.8
2022-06-30 0:00:00,IEY,1466.3,269.8,578,2.9,26.8,0.6,1.48,0.44,11.6,50.8,16.34,149.5,486.0,877.5,1,0,70.1,54.8,10.0,49.1,47.5
2022-07-31 0:00:00,IEY,1476.0,258.0,552,2.7,25.1,0.62,1.35,0.47,16.0,33.1,13.79,289.5,388.8,1134.2,1,0,76.4,48.0,10.07,47.9,54.6
2022-08-31 0:00:00,IEY,1481.6,318.2,681,3.4,25.9,0.49,1.28,0.55,8.0,41.2,18.0,183.0,382.7,1056.5,0,0,61.3,43.7,10.34,46.7,51.9
2022-09-30 0:00:00,IEY,1480.7,228.3,489,2.4,25.1,0.39,1.81,0.44,23.6,44.5,18.0,250.7,369.7,937.6,0,0,65.4,44.2,10.53,49.5,54.8
2022-10-31 0:00:00,IEY,1474.1,283.5,607,3.0,25.2,0.56,1.54,0.5,14.4,53.7,14.0,308.6,377.5,605.7,0,0,71.2,42.2,10.63,46.2,42.0
2022-11-30 0:00:00,IEY,1474.1,308.8,661,3.3,25.1,0.55,1.82,0.42,20.7,31.7,15.49,228.0,459.5,1027.3,0,0,73.0,44.9,10.74,45.4,50.9
2022-12-31 0:00:00,IEY,1401.8,307.5,658,3.3,26.1,0.59,1.72,0.49,19.4,49.0,14.6,164.9,356.9,1144.8,0,0,75.4,44.7,11.0,45.9,35.7
2023-01-31 0:00:00,IEY,1414.9,290.0,621,3.1,27.3,0.52,1.59,0.56,18.6,49.5,16.87,233.7,398.2,1239.6,0,0,73.6,43.3,10.48,39.5,50.5
2023-02-28 0:00:00,IEY,1377.8,268.0,574,2.9,25.3,0.68,1.54,0.48,20.6,43.5,13.18,197.6,340.7,639.8,0,0,84.3,47.4,10.21,44.5,45.4
2023-03-31 0:00:00,IEY,1355.3,256.9,550,2.7,23.7,0.65,1.93,0.49,20.0,43.8,10.79,296.1,340.0,922.2,0,0,74.4,43.8,10.29,43.6,52.3
2023-04-30 0:00:00,IEY,1360.4,242.0,518,2.6,23.2,0.52,1.59,0.49,13.5,45.8,14.8,143.2,280.4,560.1,0,0,65.9,41.8,10.15,46.8,49.1
2023-05-31 0:00:00,IEY,1363.1,238.4,511,2.5,26.9,0.55,1.72,0.5,20.7,52.1,15.71,243.2,307.7,994.7,1,0,68.5,47.9,9.64,48.8,48.4
2023-06-30 0:00:00,IEY,1347.6,266.0,570,2.8,26.4,0.59,1.63,0.51,17.1,47.0,15.01,191.5,376.2,819.7,0,0,68.0,46.8,9.55,46.1,53.5
2023-07-31 0:00:00,IEY,1398.2,284.2,609,3.0,29.0,0.55,1.66,0.45,16.8,47.4,18.0,187.2,399.5,987.6,0,0,89.0,48.5,9.49,48.1,52.6
2023-08-31 0:00:00,IEY,1388.0,308.2,660,3.3,26.9,0.56,1.48,0.5,20.1,49.3,15.46,193.5,407.5,900.6,0,0,80.6,47.6,9.46,45.8,56.3
2023-09-30 0:00:00,IEY,1467.5,283.9,608,3.0,25.8,0.41,1.53,0.53,18.2,46.2,18.0,202.9,442.9,1152.0,0,0,61.6,52.2,8.97,54.3,55.0
